;2023;;2022;;2021;;2020;;2019;;2018;;2017;;2016;;2015;
País;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel
Estonia [+];1,781 €;1,677 €;1,711 €;1,712 €;1,512 €;1,333 €;1,244 €;1,050 €;1,392 €;1,393 €;1,260 €;1,310 €;1,237 €;1,237 €;1,116 €;1,121 €;0,999 €;1,013 €
Finlandia [+];1,986 €;2,007 €;1,851 €;1,985 €;1,794 €;1,651 €;1,419 €;1,296 €;1,532 €;1,432 €;1,484 €;1,469 €;1,435 €;1,328 €;1,438 €;1,331 €;1,389 €;1,231 €
Grecia [+];1,896 €;1,803 €;1,827 €;1,791 €;1,737 €;1,477 €;1,432 €;1,160 €;1,591 €;1,383 €;1,510 €;1,368 €;1,534 €;1,303 €;1,466 €;1,161 €;1,396 €;1,095 €
Hungría [+];1,561 €;1,696 €;1,567 €;1,778 €;1,294 €;1,288 €;1,023 €;1,073 €;1,167 €;1,234 €;1,089 €;1,210 €;1,138 €;1,178 €;1,154 €;1,199 €;1,043 €;1,038 €
Irlanda [+];1,853 €;1,855 €;1,569 €;1,693 €;1,699 €;1,598 €;1,275 €;1,181 €;1,431 €;1,332 €;1,399 €;1,318 €;1,399 €;1,299 €;1,329 €;1,229 €;1,299 €;1,199 €
Letonia [+];1,729 €;1,732 €;1,599 €;1,643 €;1,462 €;1,302 €;1,156 €;1,034 €;1,275 €;1,205 €;1,211 €;1,204 €;1,187 €;1,093 €;1,115 €;1,047 €;1,062 €;0,990 €
Lituania [+];1,557 €;1,575 €;1,493 €;1,655 €;1,459 €;1,360 €;1,095 €;1,012 €;1,209 €;1,144 €;1,119 €;1,115 €;1,145 €;1,042 €;1,100 €;1,008 €;1,051 €;0,959 €
Luxemburgo [+];1,559 €;1,624 €;1,485 €;1,597 €;1,440 €;1,338 €;1,071 €;0,975 €;1,213 €;1,111 €;1,137 €;1,084 €;1,180 €;1,043 €;1,157 €;1,008 €;1,094 €;0,921 €
Malta [+];1,340 €;1,210 €;1,340 €;1,210 €;1,340 €;1,210 €;1,340 €;1,210 €;1,410 €;1,280 €;1,360 €;1,230 €;1,310 €;1,180 €;1,270 €;1,140 €;1,350 €;1,260 €
Países Bajos [+];2,031 €;1,888 €;1,757 €;1,754 €;1,963 €;1,597 €;1,561 €;1,243 €;1,667 €;1,384 €;1,516 €;1,299 €;1,565 €;1,272 €;1,557 €;1,247 €;1,463 €;1,131 €
Polonia [+];1,354 €;1,364 €;1,409 €;1,653 €;1,242 €;1,250 €;1,010 €;1,004 €;1,157 €;1,189 €;1,128 €;1,191 €;1,109 €;1,081 €;1,079 €;1,053 €;0,985 €;0,965 €
Rumanía [+];1,418 €;1,531 €;1,296 €;1,533 €;1,218 €;1,215 €;0,975 €;0,977 €;1,145 €;1,180 €;1,090 €;1,175 €;1,117 €;1,141 €;1,148 €;1,144 €;1,106 €;1,075 €
Suecia [+];1,717 €;2,158 €;1,695 €;2,118 €;1,671 €;1,829 €;1,388 €;1,405 €;1,490 €;1,543 €;1,410 €;1,492 €;1,441 €;1,441 €;1,429 €;1,431 €;1,314 €;1,266 €
